apartment_id,apartment_name,apartment_address,school_count
2501,금호2,서울특별시 도봉구 쌍문동 산69-1,16
3427,나성,서울특별시 강서구 등촌동 635-6,16
2013,내발산우신웨스트빌,서울특별시 강서구 내발산동 733,16
1965,내츄럴2차,서울특별시 강서구 내발산동 696-2,16
1968,내츄럴4차아파트,서울특별시 강서구 내발산동 687-27,16
1981,내츄럴아파트3차,서울특별시 강서구 내발산동 688-21,16
3990,노블레스하우스,서울특별시 중구 신당동 290-67,16
3989,대성드림,서울특별시 중구 신당동 290-52,16
4580,대치하나빌,서울특별시 강남구 대치동 1015-6,16
1979,덕현중앙타워빌,서울특별시 강서구 내발산동 676-12,16
4575,동민맥스빌A동,서울특별시 강남구 대치동 938-11,16
1800,동양엔파트,서울특별시 마포구 대흥동 803,16
293,동원베네스트,서울특별시 노원구 월계동 940,16
1576,동일스카이시티2차,서울특별시 동대문구 회기동 60-230,16
1895,두란,서울특별시 양천구 목동 714-1,16
3432,등촌동보람쉬움아파트,서울특별시 강서구 등촌동 641-4,16
3434,등촌라인(조합),서울특별시 강서구 등촌동 628-15,16
3265,디케이,서울특별시 은평구 역촌동 45-30,16
1091,래미안아름숲,서울특별시 동대문구 전농동 688,16
33,롯데캐슬천지인,서울특별시 종로구 숭인동 76,16
2907,망우,서울특별시 중랑구 망우동 184-6,16
941,명일동다성이즈빌아파트,서울특별시 강동구 명일동 358,16
924,명일우성,서울특별시 강동구 명일동 42,16
1837,목동다솔,서울특별시 양천구 목동 713-29,16
4584,미도맨션3차,서울특별시 강남구 대치동 601-1,16
4429,미래,서울특별시 관악구 신림동 1563-85,16
436,벽산블루밍1단지,서울특별시 양천구 신월동 1022,16
431,벽산블루밍2단지,서울특별시 양천구 신월동 1023,16
3741,보광드림타운,서울특별시 강서구 가양동 448-10,16
4372,보라매두산위브,서울특별시 영등포구 신길동 4497,16
726,보라매코오롱하늘채,서울특별시 동작구 대방동 509,16
753,브라운스톤관악,서울특별시 관악구 봉천동 1721,16
3728,빛고을우방,서울특별시 강서구 가양동 448-9,16
288,사슴3,서울특별시 노원구 월계동 320-11,16
1978,삼대,서울특별시 강서구 내발산동 698-1,16
2929,삼선에스케이뷰,서울특별시 성북구 삼선동3가 116,16
4000,삼성V아파트A동,서울특별시 중구 신당동 290-42,16
2463,삼성래미안트리베라2단지,서울특별시 강북구 미아동 812,16
4432,삼성아트빌(715-32),서울특별시 관악구 신림동 715-32,16
929,삼익그린11차,서울특별시 강동구 명일동 38,16
4559,삼환SOGOOD,서울특별시 강남구 대치동 938-16,16
2014,상산노블레스빌,서울특별시 강서구 내발산동 698-7,16
282,샤인힐,서울특별시 성북구 동소문동7가 75-10,16
858,서울대역마에스트로,서울특별시 관악구 봉천동 869-6,16
2910,성도아트빌,서울특별시 중랑구 망우동 202-16,16
412,수명,서울특별시 양천구 신월동 12-4,16
42,숭인모범103동,서울특별시 종로구 숭인동 569-4,16
49,숭인모범104동,서울특별시 종로구 숭인동 569-2,16
280,스타팰리스,서울특별시 성북구 성북동1가 115-5,16
2505,신건영주택A,서울특별시 도봉구 쌍문동 315-20,16
362,신공덕e편한세상,서울특별시 마포구 신공덕동 168,16
3983,신당푸르지오,서울특별시 중구 신당동 850,16
731,신대방타워,서울특별시 동작구 대방동 393-71,16
4396,신림동부센트레빌,서울특별시 관악구 신림동 1734,16
1962,신세계,서울특별시 강서구 내발산동 698-16,16
1972,신세계(697-5),서울특별시 강서구 내발산동 697-5,16
3430,신송타워,서울특별시 강서구 등촌동 662-3,16
419,신안약수,서울특별시 양천구 신월동 591-1,16
812,신원메트로빌,서울특별시 관악구 봉천동 870-13,16
2510,신원에벤에셀,서울특별시 도봉구 쌍문동 256,16
2504,신일라이프,서울특별시 도봉구 쌍문동 726,16
1573,신현대,서울특별시 동대문구 회기동 65,16
3021,아카데미스위트1,서울특별시 강남구 도곡동 467-7,16
2706,에스디펠리체,서울특별시 송파구 가락동 198-7,16
2520,영진팰리스,서울특별시 도봉구 쌍문동 88-14,16
2920,영풍마드레빌,서울특별시 중랑구 신내동 801,16
1984,예스빌,서울특별시 강서구 내발산동 687-2,16
3438,예지펠리스아파트,서울특별시 강서구 등촌동 637-15,16
45,오성,서울특별시 종로구 숭인동 888,16
3585,왕십리지웰,서울특별시 성동구 하왕십리동 1064,16
4293,우공팰리스102동,서울특별시 강서구 화곡동 1026-13,16
313,우남푸르미아,서울특별시 노원구 월계동 946,16
1271,우성1,서울특별시 영등포구 대림동 696,16
4173,"우장산아이파크,이편한세상",서울특별시 강서구 화곡동 1159,16
292,월계역신도브래뉴,서울특별시 노원구 월계동 942,16
290,유원,서울특별시 노원구 월계동 880,16
1717,정은노블스,서울특별시 은평구 대조동 197-9,16
4089,정익제이원5차,서울특별시 은평구 불광동 486-14,16
2912,주영,서울특별시 중랑구 망우동 184-13,16
2914,주영파크뷰,서울특별시 중랑구 망우동 184-16,16
1767,진흥1차,서울특별시 서대문구 북아현동 1-77,16
3440,천우네오젠,서울특별시 강서구 등촌동 645-14,16
3419,천우네오젠101동,서울특별시 강서구 등촌동 637-18,16
2488,청구,서울특별시 도봉구 쌍문동 195,16
3985,청구드림,서울특별시 중구 신당동 290-90,16
1599,청기와,서울특별시 성북구 삼선동5가 63-3,16
1990,청솔103동,서울특별시 강서구 내발산동 676-26,16
1992,청솔샤르망1001동,서울특별시 강서구 내발산동 676-23,16
305,초안산쌍용스윗닷홈,서울특별시 노원구 월계동 945,16
1960,태승훼미리3차,서울특별시 강서구 내발산동 732,16
3338,태영데시앙,서울특별시 양천구 신정동 1291,16
2000,태일,서울특별시 강서구 내발산동 697-12,16
1600,트라움하임,서울특별시 성북구 동선동5가 69-1,16
2775,평대보민아파트,서울특별시 강동구 천호동 26-12,16
2996,하나테크노빌,서울특별시 마포구 신수동 22-35,16
35,하림빌라트,서울특별시 종로구 숭인동 473,16
2016,한서3차,서울특별시 강서구 내발산동 698-11,16
2511,한솔캐스빌,서울특별시 도봉구 쌍문동 128-2,16
2002,한울앤하우스,서울특별시 강서구 내발산동 696-21,16
1586,한진(609-1),서울특별시 성북구 돈암동 609-1,16
932,해밀,서울특별시 강동구 명일동 335-7,16
922,현대(명일),서울특별시 강동구 명일동 251-1,16
2371,현대1차101동~106동,서울특별시 강남구 개포동 653,16
2498,현대2,서울특별시 도봉구 쌍문동 50,16
2467,현대성우,서울특별시 강북구 미아동 561-2,16
1958,현대파크,서울특별시 강서구 내발산동 675,16
2798,효창베네스,서울특별시 용산구 효창동 272,16
3108,AZ0213,서울특별시 광진구 구의동 252-9,15
4413,LIG5차,서울특별시 관악구 신림동 233-11,15
360,kcc웰츠,서울특별시 마포구 신공덕동 171,15
2686,가락스타클래스,서울특별시 송파구 가락동 8,15
2283,경남아파트,서울특별시 금천구 시흥동 820-12,15
2748,고려아파트(D동),서울특별시 강동구 천호동 22-9,15
788,관악캠퍼스타워,서울특별시 관악구 봉천동 875-1,15
4291,굿이모션(1103-3),서울특별시 강서구 화곡동 1103-3,15
3111,그레이스홈타운(102동),서울특별시 광진구 구의동 205-18,15
4074,극동메트로타워,서울특별시 은평구 불광동 311-13,15
3999,기린,서울특별시 중구 신당동 333-26,15
1973,길성그랑프리텔,서울특별시 강서구 내발산동 730,15
4215,남광아파트(1131-11),서울특별시 강서구 화곡동 1131-11,15
