apartment_name,school_name,distance_meters,distance_km
RudenHouse,서울신구초등학교,297.56482339,0.30
SG타워,서울중목초등학교,409.51103066,0.41
SK,가락고등학교,148.96900776,0.15
SKVIEW,서울미래초등학교,252.94129066,0.25
SK리더스뷰(파스텔시티),서울이수초등학교,171.73407165,0.17
SK리더스뷰남산,한국한성화교소학교,440.40425536,0.44
SK청암대(64-1),서울원효초등학교,331.3566946,0.33
SK허브프리모,서울언주초등학교,239.36828719,0.24
SM드림빌,서울삼릉초등학교,118.62252504,0.12
SM빌,서울천동초등학교,227.22836413,0.23
SM엘루이,시흥중학교,243.46554202,0.24
SM엘루이아파트,서울신서초등학교,111.21371217,0.11
SM이로빌4차A동(455-5),서울안평초등학교,421.31290121,0.42
SM이로빌4차B동(455-4),서울안평초등학교,390.03825919,0.39
SM이로빌5차,동국대학교사범대학부속고등학교,255.78382873,0.26
SM이로빌5차,동국대학교사범대학부속중학교,255.78382873,0.26
SM이로빌아파트,서울천동초등학교,184.65509358,0.18
SM해그린,태릉중학교,299.74816623,0.30
SM해그린12차,서울길동초등학교,191.24930451,0.19
SPACE(920-5),서울신강초등학교,477.44631827,0.48
SR친오애,영림중학교,146.351396,0.15
THESILK,서울영동초등학교,93.27993547,0.09
ThePlusⅢ,서울보광초등학교,278.13233596,0.28
UPPERHOUSE,서울서래초등학교,235.32960058,0.24
VIP(602-284),서울사당초등학교,543.19477993,0.54
YM프라젠,서울군자초등학교,351.25022226,0.35
e-편한세상,서울논현초등학교,287.30203564,0.29
e-푸른가동,서울중랑초등학교,437.51379795,0.44
e편한세상,서울숭미초등학교,147.74303642,0.15
e편한세상 수색 에코포레,서울수색초등학교,399.87721185,0.40
kcc웰츠,서울공덕초등학교,389.31388657,0.39
sk파크타워,서울가동초등학교,403.02370247,0.40
urbanplace,서울서이초등학교,295.28091363,0.30
가락(1차)쌍용아파트,서울가주초등학교,153.270806,0.15
가락3차쌍용스윗닷홈(103동),서울신가초등학교,436.12877561,0.44
"가락3차쌍용스윗닷홈101동,102동",서울신가초등학교,441.99189978,0.44
가락그랑밸리,서울가주초등학교,328.90381822,0.33
가락금호아파트,서울중대초등학교,453.81243283,0.45
가락미륭아파트,송파중학교,264.68324673,0.26
가락삼익맨숀,가락중학교,257.65479609,0.26
가락스타클래스,오금고등학교,311.76339709,0.31
가락쌍용(2차),석촌중학교,104.13820951,0.10
가락우성2,가원중학교,245.8460608,0.25
가락한일유앤아이,서울가주초등학교,259.4849174,0.26
가락현대투웰브(101동),서울문정초등학교,413.88144509,0.41
가락현대투웰브(102동),서울문정초등학교,408.02032328,0.41
가람,대왕중학교,207.21124491,0.21
가산양우내안에애플,서울가산초등학교,452.60916771,0.45
가산지웰에스테이트,서울가산초등학교,503.65260762,0.50
가야써니빌,혜원여자중학교,350.02623295,0.35
가야써니빌,혜원여자고등학교,350.02623295,0.35
가야써니빌(373-7),장평중학교,321.96860655,0.32
가양1차보람더하임,동양고등학교,257.80477428,0.26
가양2단지(성지),동양고등학교,164.59690237,0.16
가양6단지,서울가양초등학교,131.42417742,0.13
가양강나루현대,경서중학교,88.37319482,0.09
가양도시개발9-2단지,세현고등학교,189.88122605,0.19
가양우성,유석초등학교,162.62693907,0.16
가우디캐슬,서울군자초등학교,211.30541213,0.21
가우디트윈캐슬1,장평중학교,239.95342361,0.24
각산,서울안천초등학교,329.88261893,0.33
갈현1단지e-편한세상,은평중학교,234.22338027,0.23
갈현건영,신도고등학교,472.5567402,0.47
갈현동현대,선일여자중학교,289.85839985,0.29
갈현동현대,선일초등학교,289.85839985,0.29
갈현동현대,선일여자고등학교,289.85839985,0.29
갈현동현대,선일빅데이터고등학교,289.85839985,0.29
